"Provider Org name","total_decisions","total_admitted","total_failed_to_attend","total_removals","total_gp_referrals","total_other_referrals","total_first_seen","total_first_dna","total_subs_seen","total_subs_dna","quarter_start"
SALISBURY NHS FOUNDATION TRUST,3251,6590,42,0,10479,6269,14165,889,26615,1455,2018-04-01
SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,8839,9766,308,2012,37788,25692,54864,6595,77841,8017,2018-04-01
SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,2277,2263,51,158,4446,6517,13962,1444,26303,3533,2018-04-01
SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,28233,23993,536,4570,38528,39801,74586,5582,203861,15301,2018-04-01
SHEPTON MALLET NHS TREATMENT CENTRE,1708,1839,6,91,1594,1064,1799,59,2802,176,2018-04-01
SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,8754,7771,229,1053,18098,8943,25452,1887,64672,4802,2018-04-01
SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,7072,6653,89,1343,17961,16250,36142,2412,56196,3187,2018-04-01
SHROPSHIRE COMMUNITY HEALTH NHS TRUST,141,197,0,21,856,211,686,40,1742,157,2018-04-01
SOLENT NHS TRUST,0,0,0,0,1234,1375,916,103,3394,333,2018-04-01
SOMERSET PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,27,51,456,85,1590,234,2018-04-01
SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,9855,8509,141,1007,27002,21777,40474,3842,85543,7909,2018-04-01
SOUTH TYNESIDE NHS FOUNDATION TRUST,2816,2686,127,366,5282,5113,8579,825,19157,1657,2018-04-01
SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,6264,5357,68,1102,14358,4427,18134,1168,30901,2376,2018-04-01
SOUTH WEST LONDON AND ST GEORGE'S MENTAL HEALTH NHS TRUST,0,0,0,0,3616,5167,6319,654,66732,8319,2018-04-01
SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,2,10,11,0,9,1,2018-04-01
SOUTHAMPTON NHS TREATMENT CENTRE,4191,3485,107,495,6256,0,4094,196,4606,400,2018-04-01
SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,11045,9432,162,1809,20515,14500,29317,2068,60159,4630,2018-04-01
SOUTHERN HEALTH NHS FOUNDATION TRUST,694,590,7,89,1169,5,1130,109,2349,310,2018-04-01
SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,4304,4005,156,660,10097,10526,15672,1374,33161,2964,2018-04-01
SPIRE ALEXANDRA HOSPITAL,0,415,0,0,545,0,465,0,994,0,2018-04-01
SPIRE BRISTOL HOSPITAL,0,435,0,0,569,0,547,0,914,0,2018-04-01
SPIRE BUSHEY HOSPITAL,0,254,0,0,492,0,309,0,866,0,2018-04-01
SPIRE CAMBRIDGE LEA HOSPITAL,0,189,0,0,219,0,162,0,688,0,2018-04-01
SPIRE CHESHIRE HOSPITAL,0,956,0,0,1714,0,965,0,2555,0,2018-04-01
SPIRE CLARE PARK HOSPITAL,0,298,0,0,454,0,340,0,872,0,2018-04-01
SPIRE DUNEDIN HOSPITAL,0,416,0,0,847,0,565,0,1430,0,2018-04-01
SPIRE ELLAND HOSPITAL,0,1063,0,0,1685,0,1347,0,4054,0,2018-04-01
SPIRE FYLDE COAST HOSPITAL,0,1340,0,0,2248,0,1493,0,2803,0,2018-04-01
SPIRE GATWICK PARK HOSPITAL,0,253,0,0,314,0,143,0,433,0,2018-04-01
SPIRE HARPENDEN HOSPITAL,0,450,0,0,686,0,498,0,1470,0,2018-04-01
SPIRE HARTSWOOD HOSPITAL,0,288,0,0,590,0,504,0,812,0,2018-04-01
SPIRE HULL AND EAST RIDING HOSPITAL,0,1650,0,0,2049,0,1589,0,6783,0,2018-04-01
SPIRE LEEDS HOSPITAL,0,893,0,0,1399,0,1057,0,3836,0,2018-04-01
SPIRE LEICESTER HOSPITAL,0,386,0,0,728,0,581,0,2091,0,2018-04-01
SPIRE LITTLE ASTON HOSPITAL,0,621,0,0,934,0,716,0,4019,0,2018-04-01
SPIRE LIVERPOOL HOSPITAL,0,1879,0,0,3425,0,2216,0,7499,0,2018-04-01
SPIRE LONDON EAST,0,1114,0,0,1882,0,1374,0,3420,0,2018-04-01
SPIRE MANCHESTER HOSPITAL,0,413,0,0,884,0,623,0,1688,0,2018-04-01
SPIRE METHLEY PARK HOSPITAL,0,885,0,0,1139,0,792,0,3477,0,2018-04-01
SPIRE MONTEFIORE HOSPITAL,0,326,0,0,346,0,254,0,1290,0,2018-04-01
SPIRE MURRAYFIELD HOSPITAL,0,620,0,0,848,0,626,0,1902,0,2018-04-01
SPIRE PARKWAY HOSPITAL,0,708,0,0,1409,0,1003,0,3862,0,2018-04-01
SPIRE PORTSMOUTH HOSPITAL,0,337,0,0,452,0,387,0,996,0,2018-04-01
SPIRE REGENCY HOSPITAL,0,446,0,0,1463,0,782,0,2731,0,2018-04-01
SPIRE SOUTH BANK HOSPITAL,0,592,0,0,1215,0,694,0,2687,0,2018-04-01
SPIRE SOUTHAMPTON HOSPITAL,0,375,0,0,864,0,507,0,1769,0,2018-04-01
SPIRE ST ANTHONY'S HOSPITAL,0,47,0,0,139,0,92,0,105,0,2018-04-01
SPIRE SUSSEX HOSPITAL,0,250,0,0,594,0,338,0,890,0,2018-04-01
SPIRE THAMES VALLEY HOSPITAL,0,88,0,0,284,0,178,0,505,0,2018-04-01
SPIRE TUNBRIDGE WELLS HOSPITAL,0,212,0,0,507,0,264,0,385,0,2018-04-01
SPIRE WASHINGTON HOSPITAL,0,1208,0,0,1250,0,914,0,3963,0,2018-04-01
SPIRE WELLESLEY HOSPITAL,0,1425,0,0,1307,0,1099,0,5105,0,2018-04-01
SPRINGFIELD HOSPITAL,1433,1709,0,83,3657,0,3656,183,12031,716,2018-04-01
ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,13648,11161,231,2533,37428,23663,54315,6511,109159,13516,2018-04-01
ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST,11553,11425,350,433,21595,12958,28426,4044,62451,9467,2018-04-01
ST MARTINS HOSPITAL,0,72,0,0,418,910,246,33,391,90,2018-04-01
ST MARY'S NHS TREATMENT CENTRE,2763,2595,62,260,4683,1003,3249,121,2077,193,2018-04-01
STOCKPORT NHS FOUNDATION TRUST,7864,7044,169,1105,16216,8926,22613,2279,48898,4299,2018-04-01
SURREY AND SUSSEX HEALTHCARE NHS TRUST,5318,9445,0,421,22404,16634,27809,2187,39644,3903,2018-04-01
SUSSEX COMMUNITY DERMATOLOGY SERVICE,618,618,0,0,9018,0,7210,337,7196,566,2018-04-01
SUSSEX COMMUNITY DERMATOLOGY SERVICE (HOVE),0,0,0,0,0,0,0,0,0,0,2018-04-01
SUSSEX COMMUNITY NHS FOUNDATION TRUST,0,0,0,0,150,322,536,19,2066,147,2018-04-01
SUSSEX MSK PARTNERSHIP 2,601,605,15,99,545,32,575,124,1661,660,2018-04-01
TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,5152,4273,180,706,10734,6538,16050,1413,27971,2377,2018-04-01
TAUNTON AND SOMERSET NHS FOUNDATION TRUST,8420,7121,79,1176,16465,7072,16751,1171,27757,2025,2018-04-01
TEES VALLEY HOSPITAL,1566,1613,20,201,2557,0,1979,114,3015,186,2018-04-01
TEES VALLEY TREATMENT CENTRE,0,0,0,0,0,0,0,0,0,0,2018-04-01
THE BERKSHIRE INDEPENDENT HOSPITAL,438,551,1,30,1306,0,1342,88,2724,146,2018-04-01
THE CHRISTIE NHS FOUNDATION TRUST,2949,3041,12,297,60,5164,4295,237,82705,2743,2018-04-01
THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,1207,939,0,1,176,3003,3054,169,65281,2250,2018-04-01
THE CROFT SHIFA HEALTH CENTRE,370,430,11,28,967,0,749,92,3617,209,2018-04-01
THE DUDLEY GROUP NHS FOUNDATION TRUST,9767,10499,65,389,22295,10495,33615,3183,62809,4399,2018-04-01
THE GRANGE MEDICAL CENTRE HQ,321,316,5,0,1238,0,1062,72,981,138,2018-04-01
THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,5954,4726,250,906,21097,9049,22671,2316,41562,3904,2018-04-01
THE HORDER CENTRE - ST JOHNS ROAD,410,374,0,94,535,12,436,10,791,46,2018-04-01
THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,26272,23057,515,2942,53056,34663,76884,7248,170706,20851,2018-04-01
THE ONE HEALTH GROUP LTD,0,0,0,0,3085,3,2876,1084,4155,463,2018-04-01
THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,5195,4833,68,695,15853,11440,21635,1746,35519,2342,2018-04-01
"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",6698,6003,197,775,14182,7049,18045,1585,41141,2521,2018-04-01
THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,3596,2774,38,616,5941,2806,7775,413,18201,1202,2018-04-01
THE ROTHERHAM NHS FOUNDATION TRUST,5528,6437,152,1783,12992,9963,19588,1501,48459,3017,2018-04-01
THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,12515,10358,159,2196,22042,9400,24821,1566,46092,2934,2018-04-01
THE ROYAL MARSDEN NHS FOUNDATION TRUST,2624,2219,1,423,3169,3770,5368,461,57189,2926,2018-04-01
THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,3568,3515,65,1505,4830,4214,6433,659,17264,1942,2018-04-01
THE ROYAL WOLVERHAMPTON NHS TRUST,11440,9039,341,2304,31434,17761,47490,4241,97855,6565,2018-04-01
THE WALTON CENTRE NHS FOUNDATION TRUST,1769,1606,46,309,7159,6564,11363,912,20168,2000,2018-04-01
THE WESTBOURNE CENTRE,511,457,28,31,975,0,742,117,720,78,2018-04-01
THE YORKSHIRE CLINIC,2505,3423,20,200,5669,0,5371,330,19930,1622,2018-04-01
TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,6950,6136,129,841,12377,13442,23910,1491,59411,3233,2018-04-01
UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,13089,11180,598,2336,32107,15221,43805,4232,82235,7997,2018-04-01
UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,17069,13251,448,2995,31634,31357,51861,8088,158413,20462,2018-04-01
UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,12063,11830,289,1244,23523,33654,49470,4455,104124,9795,2018-04-01
UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,32750,27074,867,5365,59765,46288,96337,14419,281871,31441,2018-04-01
UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,14095,12180,216,1962,28214,26851,42136,3409,94766,6964,2018-04-01
UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,17562,15573,463,2014,33173,28765,52985,4473,74259,7317,2018-04-01
UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,17250,15376,158,1956,25959,16403,37260,2966,85882,5883,2018-04-01
UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,25835,21100,976,4288,53769,43975,69685,5958,120303,9507,2018-04-01
UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,9809,8731,51,449,17765,12178,26132,1985,45111,3934,2018-04-01
UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,16641,15333,539,2467,30472,36971,55879,5254,82490,7521,2018-04-01
UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,13494,10558,261,2650,21493,8507,29326,1678,56487,2960,2018-04-01
WALSALL HEALTHCARE NHS TRUST,5021,4515,258,728,13243,12489,17029,2229,34337,3966,2018-04-01
WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,6003,5877,149,885,12696,10243,19142,1835,53722,4869,2018-04-01
WEST HERTFORDSHIRE HOSPITALS NHS TRUST,11402,9363,204,1613,23277,17852,26748,3068,48321,5761,2018-04-01
WEST LONDON MENTAL HEALTH NHS TRUST,7,10,0,0,0,0,0,0,0,0,2018-04-01
WEST MIDLANDS HOSPITAL,788,1045,2,46,2768,0,2365,109,6603,299,2018-04-01
WEST SUFFOLK NHS FOUNDATION TRUST,5547,7214,45,897,18523,12112,22181,1021,44329,2542,2018-04-01
WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,14144,11852,334,2240,22053,15258,30709,2019,53580,3788,2018-04-01
WESTON AREA HEALTH NHS TRUST,2716,2374,22,191,6532,1996,8287,529,17097,1129,2018-04-01
WHITTINGTON HEALTH NHS TRUST,5763,3760,317,888,15021,9977,19381,2733,31493,4889,2018-04-01
WILL ADAMS NHS TREATMENT CENTRE,1508,1352,18,190,1752,19,1117,17,971,38,2018-04-01
WINFIELD HOSPITAL,623,744,6,62,1102,0,1024,58,3460,205,2018-04-01
WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,10337,9093,43,937,15693,10380,25530,2339,51985,4354,2018-04-01
WOODLAND HOSPITAL,1592,1848,1,69,3829,0,3244,191,6817,473,2018-04-01
WOODTHORPE HOSPITAL,1012,1389,8,96,2301,0,2079,190,4608,464,2018-04-01
WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,15480,12766,468,3084,25156,14782,35861,2265,51502,4261,2018-04-01
WORCESTERSHIRE HEALTH AND CARE NHS TRUST,0,2,0,0,2738,1844,1678,210,4281,577,2018-04-01
"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",10115,8381,52,1578,20633,11183,25686,2281,56523,4717,2018-04-01
WYE VALLEY NHS TRUST,5570,4936,23,1077,9828,5830,14337,1032,33338,2592,2018-04-01
YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,3199,3414,58,834,8554,4353,10529,501,21772,1700,2018-04-01
YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,11670,9875,41,1774,30399,27961,31125,2177,62266,3649,2018-04-01
AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,9998,8207,759,1822,14621,13679,23760,2921,40241,4563,2019-04-01
AIREDALE NHS FOUNDATION TRUST,2179,1910,16,281,10459,4351,13037,926,25377,2362,2019-04-01
ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,1967,3510,21,140,6311,13806,13204,1570,32509,3405,2019-04-01
ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,9936,8060,244,1413,30472,18001,37549,3346,66695,6275,2019-04-01
ASHTEAD HOSPITAL,422,600,0,0,1204,0,1416,26,2245,74,2019-04-01
ASPEN - CLAREMONT HOSPITAL,729,647,5,0,1378,45,1249,44,1740,95,2019-04-01
ASPEN - HIGHGATE HOSPITAL,370,344,11,29,628,0,535,31,763,38,2019-04-01
ASPEN - PARKSIDE HOSPITAL,167,141,3,4,262,0,357,13,389,50,2019-04-01
ASPEN - THE HOLLY,1140,1145,14,134,2458,0,2298,92,3157,265,2019-04-01
ASPEN HEALTHCARE - MIDLAND EYE,653,560,0,22,641,0,565,36,0,0,2019-04-01
"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",12093,11483,293,2130,36323,25703,41132,4983,71485,8707,2019-04-01
BARLBOROUGH NHS TREATMENT CENTRE,964,496,1,32,937,0,847,0,1794,54,2019-04-01
"BARNET, ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST",422,422,0,0,0,0,734,167,2672,636,2019-04-01
BARNSLEY HOSPITAL NHS FOUNDATION TRUST,4485,5952,111,261,17335,10607,25771,2130,70207,4620,2019-04-01
BARTS HEALTH NHS TRUST,27955,19503,959,4147,57805,51651,91956,11879,237669,30242,2019-04-01
BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,10376,8916,43,3317,13859,19385,30741,3082,59892,6506,2019-04-01
BEDFORD HOSPITAL NHS TRUST,7685,6971,105,749,13712,6472,18373,2000,30483,4221,2019-04-01
BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,0,0,0,0,222,405,486,128,950,27,2019-04-01
BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,0,0,0,0,1199,2319,3195,1035,18792,3909,2019-04-01
BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,95,1203,0,0,12787,3300,2055,630,8277,1168,2019-04-01
BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,5197,4678,128,482,21000,10221,29537,2017,59876,5863,2019-04-01
BLACK COUNTRY PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,311,1821,1759,344,5432,841,2019-04-01
BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,17079,15272,136,3665,15772,14352,25071,2361,61670,6322,2019-04-01
BLAKELANDS HOSPITAL,1008,1346,0,0,2408,0,2666,104,3789,178,2019-04-01
BMI - BATH CLINIC,606,371,0,51,867,5,706,16,1109,26,2019-04-01
BMI - BISHOPS WOOD,620,282,0,88,821,1,589,46,1569,80,2019-04-01
BMI - CHELSFIELD PARK HOSPITAL,689,375,0,137,655,0,553,25,1626,71,2019-04-01
BMI - FAWKHAM MANOR HOSPITAL,143,166,0,59,43,0,47,3,1058,56,2019-04-01
BMI - GORING HALL HOSPITAL,1313,686,0,103,345,23,594,13,2866,49,2019-04-01
BMI - HENDON HOSPITAL,667,296,0,88,1446,59,1341,88,3063,180,2019-04-01
BMI - SARUM ROAD HOSPITAL,386,255,0,29,248,31,204,7,959,32,2019-04-01
BMI - SHIRLEY OAKS HOSPITAL,1644,788,0,179,1245,4,1095,57,3265,144,2019-04-01
BMI - THE ALEXANDRA HOSPITAL,2186,1261,0,245,2435,20,2207,112,6818,229,2019-04-01
BMI - THE BEARDWOOD HOSPITAL,2029,1728,0,178,1861,1,1483,96,5686,329,2019-04-01
BMI - THE BEAUMONT HOSPITAL,1677,1248,0,210,2458,23,2213,120,5596,287,2019-04-01
BMI - THE BLACKHEATH HOSPITAL,1072,557,0,170,1223,3,1024,119,2590,179,2019-04-01
BMI - THE CHAUCER HOSPITAL,1007,635,0,84,958,63,1012,39,1583,64,2019-04-01
BMI - THE CHILTERN HOSPITAL,433,204,0,45,440,0,384,13,1386,18,2019-04-01
BMI - THE CLEMENTINE CHURCHILL HOSPITAL,1582,870,0,196,1894,198,1475,135,4440,227,2019-04-01
BMI - THE DROITWICH SPA HOSPITAL,921,736,0,86,944,75,1009,35,2949,103,2019-04-01
BMI - THE ESPERANCE HOSPITAL,460,320,0,121,126,8,111,12,1153,72,2019-04-01
BMI - THE HAMPSHIRE CLINIC,1129,693,0,70,964,60,852,46,2648,116,2019-04-01
BMI - THE HARBOUR HOSPITAL,351,190,0,28,276,0,227,5,738,18,2019-04-01
BMI - THE HIGHFIELD HOSPITAL,1426,1109,0,186,1541,2,1297,123,5802,315,2019-04-01
BMI - THE KINGS OAK HOSPITAL,723,451,0,100,1313,67,1213,73,2122,98,2019-04-01
BMI - THE LONDON INDEPENDENT HOSPITAL,3072,1472,0,496,3672,353,2984,412,6974,617,2019-04-01
BMI - THE MANOR HOSPITAL,423,304,0,75,547,0,389,21,1052,42,2019-04-01
BMI - THE MERIDEN HOSPITAL,952,585,0,111,1046,0,1072,58,4448,309,2019-04-01
BMI - THE PARK HOSPITAL,1135,758,0,91,1009,56,919,70,2704,108,2019-04-01
BMI - THE PRINCESS MARGARET HOSPITAL,522,167,0,55,604,2,424,17,906,32,2019-04-01
BMI - THE PRIORY HOSPITAL,712,241,0,92,845,7,695,95,1858,156,2019-04-01
BMI - THE RIDGEWAY HOSPITAL,1072,892,0,105,1107,4,1038,36,2088,49,2019-04-01
BMI - THE RUNNYMEDE HOSPITAL,294,129,0,25,139,4,155,6,332,15,2019-04-01
BMI - THE SANDRINGHAM HOSPITAL,606,405,0,71,615,4,533,24,1430,43,2019-04-01
BMI - THE SAXON CLINIC,700,416,0,65,609,0,472,27,1450,41,2019-04-01
BMI - THE SHELBURNE HOSPITAL,147,75,0,16,186,0,161,3,121,5,2019-04-01
BMI - THE SLOANE HOSPITAL,526,278,0,65,566,0,450,27,1262,55,2019-04-01
BMI - THE SOUTH CHESHIRE PRIVATE HOSPITAL,836,690,0,110,1238,0,1112,56,2235,98,2019-04-01
BMI - THE WINTERBOURNE HOSPITAL,513,267,0,34,373,30,378,14,970,21,2019-04-01
BMI - THORNBURY HOSPITAL,1790,225,0,230,860,553,347,21,1218,68,2019-04-01
BMI - THREE SHIRES HOSPITAL,1412,1148,0,160,1949,61,1792,75,4752,138,2019-04-01
BMI GISBURNE PARK HOSPITAL,903,748,0,119,957,64,909,36,2370,123,2019-04-01
BMI MOUNT ALVERNIA HOSPITAL,463,147,0,40,494,4,1023,90,3164,274,2019-04-01
BMI SOUTHEND PRIVATE HOSPITAL,559,557,0,82,410,10,814,50,849,49,2019-04-01
BMI ST EDMUNDS HOSPITAL,574,327,0,65,391,62,402,24,547,10,2019-04-01
BMI THE CAVELL HOSPITAL,990,571,0,156,814,1,698,47,2372,87,2019-04-01
BMI THE DUCHY HOSPITAL,271,159,0,19,350,18,313,8,935,26,2019-04-01
BMI THE EDGBASTON HOSPITAL,1040,633,0,283,1304,24,1068,167,2872,217,2019-04-01
BMI THE HUDDERSFIELD HOSPITAL,1097,776,0,90,1782,116,1614,114,3867,174,2019-04-01
BMI THE LANCASTER HOSPITAL,747,473,0,122,742,4,667,32,1492,102,2019-04-01
BMI THE LINCOLN HOSPITAL,597,267,0,75,687,0,558,32,1753,77,2019-04-01
BMI WOODLANDS HOSPITAL,1897,1264,0,140,1848,71,1829,47,4883,148,2019-04-01
BOLTON NHS FOUNDATION TRUST,6124,5952,258,825,17100,9560,19598,1944,41420,4397,2019-04-01
BOSTON WEST HOSPITAL,582,749,11,94,1242,0,1218,95,2155,150,2019-04-01
BRADFORD DISTRICT CARE NHS FOUNDATION TRUST,0,219,0,0,578,0,451,0,0,0,2019-04-01
BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,11583,12064,441,3503,23233,18301,23963,1680,62107,3052,2019-04-01
BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,0,0,0,0,2170,1203,2526,226,4939,522,2019-04-01
BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,11777,11827,204,2086,25755,17794,27606,3224,64806,6001,2019-04-01
BROMLEY HEALTHCARE,226,97,0,0,473,536,600,101,3886,261,2019-04-01
BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,10186,9017,88,1803,21707,7719,27037,1659,46136,2805,2019-04-01
CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,10191,8562,44,1609,22785,9496,29194,2624,55736,4067,2019-04-01
CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,15034,12158,0,2183,35000,19134,41668,1183,95800,5384,2019-04-01
CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,168,168,0,0,38,34,72,18,296,64,2019-04-01
CAMBRIDGESHIRE COMMUNITY SERVICES NHS TRUST,0,0,0,0,552,1813,1198,41,2726,167,2019-04-01
CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,0,0,0,0,361,533,508,71,1263,80,2019-04-01
CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,10544,6290,312,2172,24679,18423,54550,6749,102078,11273,2019-04-01
CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,475,482,0,0,0,0,432,61,2500,521,2019-04-01
CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,6586,5616,98,704,13831,6183,17640,1309,56069,4242,2019-04-01
CIRCLE - NOTTINGHAM NHS TREATMENT CENTRE,3983,6457,87,58,11462,1336,12348,784,26752,1942,2019-04-01
CIRCLE BATH HOSPITAL,1100,1192,15,0,2037,3,2271,48,2750,209,2019-04-01
CIRCLE READING HOSPITAL,1022,1224,22,0,2699,3,2705,137,3609,244,2019-04-01
CLIFTON PARK HOSPITAL,339,390,0,20,548,0,513,18,2866,99,2019-04-01
COBALT HOSPITAL,770,881,58,156,1026,0,601,35,961,73,2019-04-01
COMMUNITAS CLINICS,0,0,0,0,170,0,205,15,129,5,2019-04-01
CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,346,251,532,2,0,0,2019-04-01
COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,4671,4105,44,424,13134,12023,18604,1431,40089,2850,2019-04-01
COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,7239,6366,106,966,25396,23669,42653,3633,60071,5922,2019-04-01
COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,0,0,0,0,631,290,844,100,922,155,2019-04-01
CROYDON HEALTH SERVICES NHS TRUST,8652,6941,263,839,20305,10279,27392,2716,53399,4942,2019-04-01
CUMBRIA PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,193,317,380,73,1013,130,2019-04-01
DARTFORD AND GRAVESHAM NHS TRUST,8052,6619,150,1190,13165,8171,17209,1498,30869,2360,2019-04-01
DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,1126,1337,17,130,3537,942,4026,180,9163,386,2019-04-01
DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,0,0,0,0,94,2526,2106,462,7063,1178,2019-04-01
DEVIZES NHS TREATMENT CENTRE,1102,1136,27,80,840,737,1282,108,568,27,2019-04-01
DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,10170,8892,379,1402,27661,15987,43111,4291,78877,8391,2019-04-01
DORKING HEALTHCARE LIMITED (DHC),0,0,0,0,2416,189,2305,122,3698,258,2019-04-01
DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,7285,6238,90,1056,9884,3752,13303,703,27036,1822,2019-04-01
DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,780,683,82,47,1708,171,1133,87,1646,135,2019-04-01
DUCHY HOSPITAL,881,1132,0,0,2225,0,2568,37,4677,226,2019-04-01
DUDLEY AND WALSALL MENTAL HEALTH PARTNERSHIP NHS TRUST,0,0,0,0,1267,605,1236,299,6850,1356,2019-04-01
EAST AND NORTH HERTFORDSHIRE NHS TRUST,10990,5339,1247,493,30596,11295,33307,2858,62491,5339,2019-04-01
EAST CHESHIRE NHS TRUST,3960,3731,36,638,7507,4160,10909,458,16292,866,2019-04-01
EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,10050,16672,153,1845,43245,44252,35454,3214,48092,5505,2019-04-01
EAST LANCASHIRE HOSPITALS NHS TRUST,15272,13165,317,1780,25604,9046,35851,3223,83839,6100,2019-04-01
EAST LONDON NHS FOUNDATION TRUST,0,0,0,0,3821,1501,7670,0,0,0,2019-04-01
EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,17440,15344,126,2494,45540,37069,59075,3427,93900,5429,2019-04-01
EAST SUSSEX HEALTHCARE NHS TRUST,4922,4050,125,1011,22440,10204,25778,1848,42608,3231,2019-04-01
EMERSONS GREEN NHS TREATMENT CENTRE,2811,2903,103,180,2447,2520,3034,214,2377,200,2019-04-01
EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,8914,6923,111,1856,24860,3724,29979,2842,49408,5203,2019-04-01
EPSOMEDICAL GROUP,1698,1527,16,0,3358,267,3277,100,3809,109,2019-04-01
